Sem a pandemia qual seria o seu ano provável de formatura?,Você atualmente possui acesso à internet?,Atualmente você consegue (você pode escolher várias opções):,Na questão anterior você selecionou todas as opções?,Qual equipamento te falta para realizar todas as atividades remotamente?,As condições do seu local de estudo são:,Atualmente o que falta em seu local de estudo para ele ser ótimo?,"Atualmente, quanto os livros da biblioteca física são importantes para seus estudos?",Quantas disciplinas a distância você conseguiria cursar em um semestre? Note que ela pode demandar mais tempo que uma disciplina presencial.,Quais seus motivos para não fazer aulas a distância? Seja sincero.,"Desconsiderando suas atuais limitações de acesso, quais disciplinas você estaria disposto a cursar a distância no próximo semestre? (você tem que ter o pré-requisito)","Para que uma disciplina possa ser oferecida a distância, quantos dos alunos interessados e que tenham o pré-requisito devem ter condições de cursá-la?",Quais tipos de disciplinas deveriam ser oferecidas a distância durante o isolamento social (você pode escolher várias opções ou nenhuma)?,"Faça aqui outros comentários, dúvidas para aprimorarmos nosso levantamento de dados"
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Um computador mais rápido.,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA","Quase todos, menos de 10% não tem condições","Optativas, ACIEPEs",.
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 2","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Pouco, não dependo da biblioteca física para cursar disciplinas",Nenhuma,"Não creio que o ensino da aula EAD será bom, cursamos um curso difícil e quase sempre na aula presencial já não entendemos o assunto/matéria, prefiro que ""atrase"" o ano do que ter aula a distância. Outro motivo, é que não possuo tempo durante essa quarentena enquanto estou na minha cidade, devido a problema pessoais.",MINERAÇÃO DE DADOS,Todos,"Optativas, Disciplinas de final de curso",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, CONSTRUÇÃO DE INDICADORES, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1",Todos,"Optativas, Disciplinas de final de curso, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ANÁLISE DE RISCOS, ESTATÍSTICA MULTIVARIADA 1, MINERAÇÃO DE DADOS, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, SÉRIES FINANCEIRAS","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, INFERÊNCIA ESTATISTICA A, INTRODUÇÃO À ESTATÍSTICA, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Baixar e ver vídeos, Baixar e ler textos",Não,meu computador não possui a formatação ideal para baixar programas que realizem as demais tarefas ,"Aceitáveis, alguma dificuldade de concentração","a dificuldade de concentração que possuo atualmente, são nas tarefas que devo realizar aqui em casa para nao sobrecarregar meus pais, ja que fazem parte do grupo de rinco na pandemia","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, ESTUDOS POPULACIONAIS, FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, INTRODUÇÃO À TEORIA DAS FILAS","Alguns, basta haver alunos aptos e interessados","Optativas, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,"Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silencio,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,PROBABILIDADE 1,"Muitos, 50% ou mais tem condições","Optativas, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Não,,Não,"Um computador, impressora e scanner ","Ruins, muita dificuldade de concentração",Minha casa tem muito barulho por ser do lado de empresas,"Muito, é impossível fazer qualquer disciplina sem a biblioteca",Algumas do semestre presencial,,FUNDAMENTOS DE PROBABILIDADE,Todos,Optativas,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Algumas do semestre presencial,,"INFERÊNCIA ESTATISTICA A, PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA","Quase todos, menos de 10% não tem condições",Obrigatórias gerais,
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ler textos",Não,"Primeiramente, o computador que tenho disponível em minha casa não tem capacidade para instalar os programas que geralmente uso na graduação por ser muito desatualizado. Juntamente com o fato de ser só um computador para 5 pessoas em minha casa. Outro fator é que a minha internet é limitada e não posso utilizar muito de sua capacidade, pois é cobrado extra se ultrapassar. Resumindo, de equipamentos para estudar EAD, faltam um computador ou notebook que eu possa acessar e programar, junto com uma internet estável para estudar.","Ruins, muita dificuldade de concentração","Atualmente eu moro com mais 4 pessoas, sendo o meu quarto o único lugar com apoio e iluminação para estudar, porem eu divido ele com minhas duas irmãs, sendo uma delas de 6 anos. Sendo assim, não tenho um lugar com suporte para estudar, como também é muito difícil se concentrar com as constantes interrupções familiares.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Nenhuma,"Todos os meus motivos praticamente já foram listados nas perguntas anteriores. Resumindo, seria a falta de equipamentos, falta de acesso estável a internet, falta de espaço para estudos e ser difícil se concentrar onde estou.","PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA","Muitos, 50% ou mais tem condições","Optativas, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Mais silencio para estudar,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À ESTATÍSTICA,"Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Falta um pouco de privacidade, em alguns momentos tenho que compartilhar meu local de estudos com outras pessoas.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE REGRESSÃO, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, PESQUISA DE MERCADO, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias gerais, ACIEPEs","Eu acredito que seria interessante serem oferecidas as disciplinas nesse período de isolamento social, contanto que sejam garantidas iguais ou semelhantes condições de aprendizagem quando as disciplinas são ofertadas de forma presencial. Além disso as disciplinas ofertadas a distancia poderiam ser de caráter opcional, para quem quisesse e tivesse a oportunidade de participar, não prejudicando aqueles que não demonstrarem interesse ou não tiverem condições de participar."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração","Menos gente em casa, é  muito barulho, não tenho um quarto ou algum cômodo só pra mim, tenho irmãos pequenos ","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,Todos,"Optativas, Obrigatórias de ênfase, Obrigatórias gerais",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"LABORATÓRIO DE ESTATÍSTICA APLICADA, TG2",Todos,"Optativas, Disciplinas de final de curso",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,,Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias gerais",
Ou após 2021,Sim,"Baixar e ver vídeos, Baixar e ler textos",Não,Notebook/computador,"Aceitáveis, alguma dificuldade de concentração",Silêncio e computador,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,PROBABILIDADE 1,Todos,Obrigatórias gerais,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração","Uma mesa para estudar, boa iluminação, silêncio para estudar.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,FUNDAMENTOS DE PROBABILIDADE,Todos,"Optativas, ACIEPEs","Se com as ACIEPES os professores estão mandando conteúdo que daria em um mês, para fazer em uma semana, imagina quando for matéria obrigatória. Acho que matérias obrigatórias seriam melhor presencial, mas se não houver opção, deixar apenas algumas obrigatórios para fazer EAD."
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, CONSTRUÇÃO DE INDICADORES, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA MULTIVARIADA 1, ESTATÍSTICA NÃO-PARAMÉTRICA, MINERAÇÃO DE DADOS, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA, SÉRIES TEMPORAIS","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, MINERAÇÃO DE DADOS, TG1","Alguns, basta haver alunos aptos e interessados","Disciplinas de final de curso, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs","A minha dúvida se refere ao que acontecerá com aqueles que tem condições e preferem não fazer ou não tem condições e não conseguem fazer? Eles irão ter o prazo para se formar estendido conforme o tempo que forem afetados,?
Também acho que ministrar a aula disponibilizando os vídeos no AVA ou no Moodle como o professor Viola está fazendo na ACIEPE seria mais interessante que aulas feita em tempo real pelo Google Meet ou outra ferramenta, pois assim caberia ao estudante adaptar o melhor horário para assistir e conseguir focar na aula. "
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Menos barulho ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"FUNDAMENTOS DE PROBABILIDADE, INTRODUÇÃO À ESTATÍSTICA",Todos,"Optativas, ACIEPEs",eu acho que o melhor seria acrescentar mais um ano as graduações para que ninguém seja prejudicado.
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração","Ser silencioso. Infelizmente com o isolamento social, os meus vizinhos tem feito muito barulho, e como o meu local de estudo fica ao lado da casa deles, muitas vezes eu tenho dificuldade para me concentrar.","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de recuperação, Obrigatórias gerais","Acho importante que para as aulas EaD, a preferência seja maior para quem está se formando. Também acho importante que não sejam fornecidas todas as matérias como um semestre letivo normal, pois uma aula EaD leva mais tempo do que uma aula presencial e também não teremos todos os recursos físicos disponíveis como teríamos dentro da universidade. Entretanto, gostaria que tivessem as aulas EaD para não me atrasar tanto no curso, pois, infelizmente devido a pandemia, 6 meses já foram perdidos."
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA,"Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE REGRESSÃO, ANÁLISE DE RISCOS, CONSTRUÇÃO DE INDICADORES, ESTATÍSTICA BAYESIANA, ESTATÍSTICA MULTIVARIADA 1, PLANEJAMENTO E ANÁLISE DE EXPERIMENTOS 1, PROCESSOS ESTOCÁSTICOS","Alguns, basta haver alunos aptos e interessados","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Um notebook melhor,"Aceitáveis, alguma dificuldade de concentração","Meu pai e minha irmã tbm tem aulas EAD, então está um pouco difícil conciliar tds","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1",Todos,"Optativas, Obrigatórias de recuperação, ACIEPEs",
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"ANÁLISE DE RISCOS, MINERAÇÃO DE DADOS, TG1",Todos,"Disciplinas de final de curso, Obrigatórias de recuperação, ACIEPEs",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Nenhum ,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Todas de um semestre presencial,,"ATUÁRIA GERAL, CONTROLE ESTATÍSTICO DE QUALIDADE, ESTATÍSTICA BAYESIANA, INFERÊNCIA ESTATÍSTICA (6 Créditos), PESQUISA DE MERCADO, PROCESSOS ESTOCÁSTICOS, PROGRAMAÇÃO ESTATÍSTICA",Todos,"Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias gerais",
Ou após 2021,Sim,"Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Não,Nenhum ,"Ruins, muita dificuldade de concentração",Silêncio,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,,Todos,"Optativas, Obrigatórias de recuperação, ACIEPEs",
2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio ,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"ANÁLISE DE REGRESSÃO, CONTROLE ESTATÍSTICO DE QUALIDADE, MÉTODOS EM BIOMETRIA, PROBABILIDADE 2, PROCESSOS ESTOCÁSTICOS","Muitos, 50% ou mais tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase, Obrigatórias de recuperação, Obrigatórias gerais, ACIEPEs",
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,INTRODUÇÃO À ESTATÍSTICA,Todos,"Optativas, ACIEPEs","Acho que ter ead das matérias obrigatórias prejudicará muitos alunos, assim sendo,  disponibilizar matérias optativas e ACIEPEs é uma alternativa para os estudantes não ficarem parados e aprenderem algo nesse momento difícil."
2020,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Aceitáveis, alguma dificuldade de concentração",Silêncio ,"Pouco, não dependo da biblioteca física para cursar disciplinas",Todas de um semestre presencial,,"CONTROLE ESTATÍSTICO DE QUALIDADE, MINERAÇÃO DE DADOS, TG1","Quase todos, menos de 10% não tem condições","Optativas, Disciplinas de final de curso, Obrigatórias de ênfase",
Ou após 2021,Sim,Escrever e rodar códigos de computador,Não,,Ótimas,,"Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,"INTRODUÇÃO À INFERÊNCIA ESTATÍSTICA, PROBABILIDADE 1, PROGRAMAÇÃO ESTATÍSTICA","Muitos, 50% ou mais tem condições",Obrigatórias de ênfase,
Ou após 2021,Sim,"Escrever e rodar códigos de computador, Escrever e compartilhar textos, Baixar e ver vídeos, Baixar e ler textos",Sim,,"Ruins, muita dificuldade de concentração","silencio, sem transição de pessoas ","Razoável, é possível fazer disciplinas sem a biblioteca, se material extra for disponibilizado",Algumas do semestre presencial,,PROBABILIDADE 2,Todos,"Optativas, ACIEPEs",
